x,y,layer1,layer2,voltage1,voltage2,current
119.164,2004.85,INNER_1,INNER_2,25.1512,25.1512,8.745e-05
119.164,2004.85,INNER_2,BOTTOM_LAYER,25.1512,25.1512,8.74501e-05
119.164,2122.96,TOP_LAYER,INNER_1,25.1529,25.1529,0.000397138
119.164,2122.96,INNER_1,INNER_2,25.1529,25.1529,0.000397138
119.164,2122.96,INNER_2,BOTTOM_LAYER,25.1529,25.1529,0.000397138
119.164,2241.07,TOP_LAYER,INNER_1,25.1543,25.1543,0.0014799
119.164,2241.07,INNER_1,INNER_2,25.1543,25.1543,0.0014799
119.164,2241.07,INNER_2,BOTTOM_LAYER,25.1543,25.1543,0.0014799
119.164,2359.18,TOP_LAYER,INNER_1,25.1554,25.1554,0.00403009
119.164,2359.18,INNER_1,INNER_2,25.1554,25.1554,0.00403009
119.164,2359.18,INNER_2,BOTTOM_LAYER,25.1554,25.1554,0.00403009
119.164,2477.29,TOP_LAYER,INNER_1,25.1562,25.1562,0.00675141
119.164,2477.29,INNER_1,INNER_2,25.1562,25.1562,0.00675141
119.164,2477.29,INNER_2,BOTTOM_LAYER,25.1562,25.1562,0.00675141
119.164,2595.4,TOP_LAYER,INNER_1,25.1566,25.1566,0.00726269
119.164,2595.4,INNER_1,INNER_2,25.1566,25.1566,0.00726269
119.164,2595.4,INNER_2,BOTTOM_LAYER,25.1566,25.1566,0.00726269
119.164,2831.62,TOP_LAYER,INNER_1,0.0164071,0.0164069,0.00336233
119.164,2831.62,INNER_1,INNER_2,0.0164069,0.0164059,0.00311746
119.164,2831.62,INNER_2,BOTTOM_LAYER,0.0164059,0.0164059,0.000965893
119.164,2949.73,TOP_LAYER,INNER_1,0.0164061,0.016406,0.00123211
119.164,2949.73,INNER_1,INNER_2,0.016406,0.016405,0.00335021
119.164,2949.73,INNER_2,BOTTOM_LAYER,0.016405,0.0164048,0.003065
119.164,3067.84,TOP_LAYER,INNER_1,0.0164003,0.0164003,0.000175978
119.164,3067.84,INNER_1,INNER_2,0.0164003,0.0163996,0.00232677
119.164,3067.84,INNER_2,BOTTOM_LAYER,0.0163996,0.0163992,0.00741791
119.164,3185.95,TOP_LAYER,INNER_1,0.0163879,0.0163879,-0.000878394
119.164,3185.95,INNER_1,INNER_2,0.0163879,0.0163877,0.000855616
119.164,3185.95,INNER_2,BOTTOM_LAYER,0.0163877,0.016387,0.0114646
119.164,3304.06,TOP_LAYER,INNER_1,0.0163677,0.0163678,-0.00211251
119.164,3304.06,INNER_1,INNER_2,0.0163678,0.0163682,-0.00128906
119.164,3304.06,INNER_2,BOTTOM_LAYER,0.0163682,0.0163674,0.0154239
119.164,3422.17,TOP_LAYER,INNER_1,0.0163398,0.01634,-0.00322262
119.164,3422.17,INNER_1,INNER_2,0.01634,0.0163411,-0.0036317
119.164,3422.17,INNER_2,BOTTOM_LAYER,0.0163411,0.01634,0.0189951
119.164,3540.28,TOP_LAYER,INNER_1,0.0163054,0.0163056,-0.00411115
119.164,3540.28,INNER_1,INNER_2,0.0163056,0.0163074,-0.00575096
119.164,3540.28,INNER_2,BOTTOM_LAYER,0.0163074,0.0163062,0.0215533
119.164,3658.39,TOP_LAYER,INNER_1,0.0162671,0.0162674,-0.005541
119.164,3658.39,INNER_1,INNER_2,0.0162674,0.0162697,-0.00749605
119.164,3658.39,INNER_2,BOTTOM_LAYER,0.0162697,0.0162685,0.0228483
119.164,4012.72,TOP_LAYER,INNER_1,0.0161074,0.0161076,-0.00180974
119.164,4012.72,INNER_1,INNER_2,0.0161076,0.0161099,-0.00765315
119.164,4012.72,INNER_2,BOTTOM_LAYER,0.0161099,0.0161088,0.0199105
119.164,4130.83,TOP_LAYER,INNER_1,0.0160761,0.0160762,-0.00198872
119.164,4130.83,INNER_1,INNER_2,0.0160762,0.0160781,-0.00623296
119.164,4130.83,INNER_2,BOTTOM_LAYER,0.0160781,0.0160772,0.0164905
119.164,4248.94,TOP_LAYER,INNER_1,0.0160505,0.0160506,-0.000432087
119.164,4248.94,INNER_1,INNER_2,0.0160506,0.0160518,-0.0041622
119.164,4248.94,INNER_2,BOTTOM_LAYER,0.0160518,0.0160511,0.0134678
119.164,4367.05,TOP_LAYER,INNER_1,0.0160323,0.016032,0.00510955
119.164,4367.05,INNER_1,INNER_2,0.016032,0.0160316,0.00119017
119.164,4367.05,INNER_2,BOTTOM_LAYER,0.0160316,0.016031,0.0115216
119.164,4485.16,TOP_LAYER,INNER_1,0.0160255,0.0160218,0.0675525
119.164,4485.16,INNER_1,INNER_2,0.0160218,0.0160155,0.0203555
119.164,4485.16,INNER_2,BOTTOM_LAYER,0.0160155,0.0160158,-0.00535118
119.164,4780.44,TOP_LAYER,INNER_1,3.31322,3.31322,-0.00239144
119.164,4780.44,INNER_1,INNER_2,3.31322,3.31322,-0.00239144
119.164,4780.44,INNER_2,BOTTOM_LAYER,3.31322,3.31322,-0.00239144
119.164,4898.55,TOP_LAYER,INNER_1,3.31322,3.31322,0.00388748
119.164,4898.55,INNER_1,INNER_2,3.31322,3.31322,0.00388748
119.164,4898.55,INNER_2,BOTTOM_LAYER,3.31322,3.31322,0.00388748
119.164,5016.66,TOP_LAYER,INNER_1,3.31318,3.31318,-0.0065398
119.164,5016.66,INNER_1,INNER_2,3.31318,3.31318,-0.0065398
